Incident_types,Subgroups,Impacts,Average_Resolution_Time_Hour
Capacity Incident,Access Issues,3 - Medium,298.97266666666667
Capacity Incident,Access Issues,4 - Low,
Capacity Incident,Access Issues,2 - High,6.753240740740741
Capacity Incident,Access Issues,1 - Major,
Capacity Incident,amex,3 - Medium,3.5710778289810547
Capacity Incident,amex,4 - Low,
Capacity Incident,amex,2 - High,11.150551001821494
Capacity Incident,amex,1 - Major,
Capacity Incident,AUApplication,3 - Medium,
Capacity Incident,AUApplication,4 - Low,
Capacity Incident,AUApplication,2 - High,
Capacity Incident,AUApplication,1 - Major,
Capacity Incident,AWTM Service,3 - Medium,356.373373015873
Capacity Incident,AWTM Service,4 - Low,
Capacity Incident,AWTM Service,2 - High,
Capacity Incident,AWTM Service,1 - Major,
Capacity Incident,Backup,3 - Medium,20.648361111111114
Capacity Incident,Backup,4 - Low,
Capacity Incident,Backup,2 - High,
Capacity Incident,Backup,1 - Major,
Capacity Incident,BMC Issues,3 - Medium,68.01083333333334
Capacity Incident,BMC Issues,4 - Low,
Capacity Incident,BMC Issues,2 - High,
Capacity Incident,BMC Issues,1 - Major,
Capacity Incident,DatamartMetrics,3 - Medium,8.755573127872399
Capacity Incident,DatamartMetrics,4 - Low,92.03805555555556
Capacity Incident,DatamartMetrics,2 - High,3.0392579365079366
Capacity Incident,DatamartMetrics,1 - Major,
Capacity Incident,EDW Server,3 - Medium,6.592597809076683
Capacity Incident,EDW Server,4 - Low,24.412916666666668
Capacity Incident,EDW Server,2 - High,2.205
Capacity Incident,EDW Server,1 - Major,
Capacity Incident,fhl,3 - Medium,8.21381969514641
Capacity Incident,fhl,4 - Low,
Capacity Incident,fhl,2 - High,3.0875
Capacity Incident,fhl,1 - Major,
Capacity Incident,FHL Service,3 - Medium,7.052881944444445
Capacity Incident,FHL Service,4 - Low,
Capacity Incident,FHL Service,2 - High,
Capacity Incident,FHL Service,1 - Major,
Capacity Incident,MKHS Service,3 - Medium,26.27148148148148
Capacity Incident,MKHS Service,4 - Low,
Capacity Incident,MKHS Service,2 - High,
Capacity Incident,MKHS Service,1 - Major,
Capacity Incident,MKHSP Server,3 - Medium,12.207620614035086
Capacity Incident,MKHSP Server,4 - Low,
Capacity Incident,MKHSP Server,2 - High,0.6882777777777779
Capacity Incident,MKHSP Server,1 - Major,
Capacity Incident,MKTM Service,3 - Medium,10.573359788359788
Capacity Incident,MKTM Service,4 - Low,
Capacity Incident,MKTM Service,2 - High,4.2027777777777775
Capacity Incident,MKTM Service,1 - Major,
Capacity Incident,OIPA,3 - Medium,
Capacity Incident,OIPA,4 - Low,
Capacity Incident,OIPA,2 - High,
Capacity Incident,OIPA,1 - Major,
Capacity Incident,Quest Change Auditor Agent,3 - Medium,3.2192323573573574
Capacity Incident,Quest Change Auditor Agent,4 - Low,1.4661111111111111
Capacity Incident,Quest Change Auditor Agent,2 - High,1.199173789173789
Capacity Incident,Quest Change Auditor Agent,1 - Major,
